"Date","Price","Open","High","Low","Vol.","Change %"
"May 31, 2019",1074.87,1075.79,1081.32,1068.07,"1.04B","-0.18%"
"May 30, 2019",1076.85,1074.92,1082.52,1074.34,"762.65M","0.18%"
"May 29, 2019",1074.89,1084.46,1085.27,1073.94,"993.65M","-0.89%"
"May 28, 2019",1084.58,1081.99,1085.97,1074.68,"4.22B","0.52%"
"May 27, 2019",1078.98,1075.76,1082.64,1070.97,"1.00B","0.64%"
"May 24, 2019",1072.13,1065.77,1075.63,1061.58,"1.18B","0.15%"
"May 23, 2019",1070.49,1079.21,1082.57,1069.03,"1.01B","-1.16%"
"May 22, 2019",1083.04,1076.35,1084.22,1076.22,"963.76M","1.07%"
"May 21, 2019",1071.60,1069.54,1076.75,1065.17,"1.15B","0.29%"
"May 17, 2019",1068.45,1076.63,1079.39,1067.11,"961.26M","-0.45%"
"May 16, 2019",1073.25,1080.09,1082.52,1067.37,"1.30B","-0.50%"
"May 15, 2019",1078.60,1088.71,1091.29,1078.60,"1.14B","-0.74%"
"May 14, 2019",1086.59,1084.42,1090.67,1083.06,"1.46B","-0.34%"
"May 13, 2019",1090.33,1095.02,1097.70,1085.68,"1.12B","-0.46%"
"May 10, 2019",1095.38,1099.23,1100.90,1088.38,"1.00B","0.22%"
"May 09, 2019",1092.97,1098.06,1103.02,1092.17,"1.01B","-0.52%"
"May 08, 2019",1098.65,1103.34,1104.89,1096.63,"1.55B","-0.92%"
"May 07, 2019",1108.83,1109.09,1113.37,1105.92,"1.18B","-0.66%"
"May 03, 2019",1116.18,1113.68,1118.65,1113.14,"892.94M","-0.01%"
"May 02, 2019",1116.30,1115.35,1119.20,1114.16,"845.38M","0.35%"
"Apr 30, 2019",1112.39,1107.22,1114.83,1106.88,"935.99M","0.52%"
"Apr 29, 2019",1106.62,1106.03,1108.96,1103.42,"1.05B","-0.11%"
"Apr 26, 2019",1107.88,1112.74,1113.63,1104.35,"853.18M","-0.45%"
"Apr 25, 2019",1112.93,1113.17,1116.96,1110.86,"630.77M","-0.07%"
"Apr 24, 2019",1113.76,1114.28,1116.50,1109.29,"925.83M","0.22%"
"Apr 23, 2019",1111.33,1113.99,1117.15,1110.61,"872.31M","-0.15%"
"Apr 22, 2019",1113.03,1115.90,1121.14,1113.03,"985.84M","-0.01%"
"Apr 19, 2019",1113.14,1113.56,1117.38,1110.82,"727.34M","-0.08%"
"Apr 18, 2019",1114.04,1113.60,1116.32,1108.10,"1.09B","0.14%"
"Apr 17, 2019",1112.52,1108.99,1116.23,1107.05,"1.08B","0.64%"
"Apr 12, 2019",1105.42,1104.12,1107.26,1100.85,"929.84M","-0.01%"
"Apr 11, 2019",1105.48,1107.78,1108.78,1103.44,"1.20B","-0.30%"
"Apr 10, 2019",1108.81,1106.61,1111.38,1105.40,"1.14B","0.31%"
"Apr 09, 2019",1105.37,1099.88,1107.62,1097.82,"859.00M","0.84%"
